Latitude,Longitude,Yaw,Course,WindDir,RudderAngle,SailAngle,Speed,Waypoint,LogState,Autopilot,TimeStamp
-5.839552,-35.201313,-27.62,295.14,135.00,0.00,0.00,1.00,0,1,0,2509
-5.839555,-35.201313,-27.45,295.14,135.00,0.00,0.00,1.00,0,1,0,2787
-5.839555,-35.201313,-27.67,295.14,135.00,0.00,0.00,1.00,0,1,0,2994
-5.839555,-35.201313,-27.80,295.14,157.50,0.00,0.00,1.00,0,1,0,3380
-5.839558,-35.201313,-27.80,160.02,-157.50,0.00,0.00,0.63,0,1,0,3876
-5.839558,-35.201313,-27.39,160.02,-157.50,0.00,0.00,0.63,0,1,0,4200
-5.839558,-35.201313,-26.68,160.02,-112.50,0.00,0.00,0.63,0,1,0,5001
-5.839560,-35.201313,-24.97,169.06,112.50,0.00,0.00,0.59,0,1,0,6258
-5.839565,-35.201313,-24.38,169.06,-112.50,0.00,0.00,0.59,0,1,0,6583
-5.839565,-35.201313,-23.44,169.06,-112.50,0.00,0.00,0.59,0,1,0,7039
-5.839568,-35.201313,-20.32,212.51,-112.50,0.00,0.00,0.52,0,1,0,8231
-5.839568,-35.201313,-19.08,212.51,-112.50,0.00,0.00,0.52,0,1,0,8677
-5.839568,-35.201313,-15.78,212.51,-112.50,0.00,0.00,0.52,0,1,0,9437
-5.839568,-35.201313,-14.44,212.51,-112.50,0.00,0.00,0.52,0,1,0,9885
-5.839577,-35.201320,-11.70,219.91,-157.50,0.00,0.00,0.67,0,1,0,10662
-5.839577,-35.201320,-10.54,219.91,135.00,0.00,0.00,0.67,0,1,0,11098
-5.839580,-35.201324,-6.50,282.06,135.00,0.00,0.00,0.07,0,1,0,11853
-5.839580,-35.201324,-4.76,282.06,90.00,-25.00,0.00,0.07,0,1,0,12296
-5.839580,-35.201324,-1.75,282.06,112.50,-25.00,20.00,0.07,0,1,0,13038
-5.839580,-35.201324,-0.90,282.06,112.50,-23.00,20.00,0.07,0,1,0,13477
-5.839582,-35.201324,-1.60,24.70,112.50,-25.00,20.00,0.94,0,1,0,13913
-5.839578,-35.201324,6.29,24.70,90.00,-90.00,20.00,0.94,0,1,0,15094
-5.839577,-35.201324,13.42,332.65,90.00,-54.00,20.00,1.50,0,1,0,15534
-5.839577,-35.201324,11.10,332.65,45.00,-90.00,20.00,1.50,0,1,0,15976
-5.839563,-35.201320,-0.23,10.71,-22.50,-90.00,12.00,1.63,0,1,0,18325
-5.839563,-35.201320,-3.06,10.71,-67.50,-90.00,13.00,1.63,0,1,0,18769
-5.839553,-35.201328,-13.64,10.71,67.50,-90.00,13.00,1.63,0,1,0,19938
-5.839550,-35.201328,-16.26,325.89,67.50,-90.00,13.00,2.30,0,1,0,20375
-5.839545,-35.201332,-24.68,330.52,90.00,-90.00,14.00,2.00,0,1,0,21541
-5.839545,-35.201332,-27.15,330.52,112.50,-90.00,13.00,2.00,0,1,0,21978
-5.839540,-35.201335,-29.45,330.52,112.50,-90.00,14.00,2.00,0,1,0,22416
-5.839540,-35.201335,-35.75,330.52,45.00,-90.00,0.00,2.00,0,1,0,23157
-5.839535,-35.201335,-39.74,330.52,90.00,-90.00,1.00,2.00,0,1,0,23594
-5.839535,-35.201335,-42.01,330.52,90.00,-90.00,0.00,2.00,0,1,0,24030
-5.839532,-35.201335,-37.86,330.52,90.00,0.00,0.00,2.00,0,1,0,24780
-5.839532,-35.201335,-29.94,330.52,135.00,0.00,0.00,2.00,0,1,0,25221
-5.839530,-35.201339,-23.73,330.52,135.00,90.00,74.00,2.00,0,1,1,25659
-5.839523,-35.201343,17.05,335.25,45.00,90.00,74.00,1.41,0,1,1,28126
-5.839517,-35.201347,22.54,335.99,0.00,90.00,24.00,4.02,0,1,1,28560
-5.839517,-35.201347,27.44,335.99,45.00,90.00,0.00,4.02,0,1,1,29000
-5.839505,-35.201347,32.63,335.99,45.00,90.00,24.00,4.02,0,1,1,29439
-5.839505,-35.201347,38.00,335.99,45.00,90.00,24.00,4.02,0,1,1,29879
-5.839505,-35.201347,43.60,350.33,0.00,90.00,24.00,4.09,0,1,1,30343
-5.839488,-35.201343,60.46,28.41,0.00,90.00,0.00,3.13,0,1,1,31560
-5.839488,-35.201343,67.44,28.41,0.00,90.00,0.00,3.13,0,1,1,31991
-5.839460,-35.201313,-22.07,15.05,-135.00,-90.00,30.00,1.65,0,1,0,41284
-5.839460,-35.201313,-25.70,15.05,-135.00,-90.00,30.00,1.65,0,1,0,41724
-5.839457,-35.201320,-39.32,335.95,-90.00,-90.00,30.00,2.93,0,1,0,42899
-5.839440,-35.201335,-80.96,313.37,-45.00,-86.00,30.00,3.17,0,1,0,45698
-5.839440,-35.201347,-119.86,278.22,45.00,-75.00,49.00,2.56,0,1,0,48176
-5.839463,-35.201377,-96.50,234.02,-90.00,4.00,52.00,4.30,0,1,0,51800
-5.839463,-35.201377,-96.02,234.02,-90.00,4.00,0.00,4.30,0,1,0,52235
-5.839497,-35.201419,-59.51,234.94,90.00,90.00,49.00,3.61,0,1,1,57945
-5.839498,-35.201423,-46.40,254.27,-135.00,90.00,49.00,2.50,0,1,1,58803
-5.839498,-35.201423,-40.86,254.27,-135.00,90.00,74.00,2.50,0,1,1,59247
-5.839498,-35.201431,-34.38,254.27,-135.00,90.00,74.00,2.50,0,1,1,59681
-5.839498,-35.201438,-14.88,282.80,-112.50,90.00,74.00,3.24,0,1,1,60983
-5.839495,-35.201446,-9.16,282.80,-135.00,90.00,61.00,3.24,0,1,1,61435
-5.839458,-35.201454,62.08,338.18,45.00,90.00,24.00,3.74,0,1,1,66122
-5.839440,-35.201446,85.10,338.18,45.00,90.00,24.00,3.74,0,1,1,67717
-5.839440,-35.201446,89.51,338.18,45.00,90.00,24.00,3.74,0,1,1,68163
-5.839437,-35.201438,96.09,65.06,45.00,90.00,24.00,2.96,0,1,1,69035
-5.839437,-35.201438,103.33,65.06,45.00,90.00,24.00,2.96,0,1,1,69910
-5.839327,-35.201389,16.06,3.80,-135.00,9.00,0.00,3.63,0,0,0,111570
-5.839327,-35.201389,17.70,3.80,-90.00,9.00,0.00,3.63,0,0,0,112477
-5.839327,-35.201389,29.69,3.80,0.00,-81.00,26.00,3.63,0,0,0,116261
-5.839327,-35.201389,55.39,3.80,0.00,-88.00,24.00,3.63,0,0,0,118151
-5.839305,-35.201366,76.59,25.11,0.00,-88.00,25.00,1.83,0,0,0,119034
-5.839305,-35.201366,86.19,25.11,45.00,-88.00,24.00,1.83,0,0,0,120043
-5.839288,-35.201332,130.83,75.34,0.00,0.00,0.00,2.30,0,0,0,125659
-5.839287,-35.201324,142.04,75.34,45.00,-90.00,22.00,2.30,0,0,0,127568
-5.839287,-35.201324,123.73,75.34,90.00,-90.00,27.00,2.30,0,0,0,129413
-5.839287,-35.201324,100.21,75.34,45.00,-90.00,27.00,2.30,0,0,0,130405
-5.839293,-35.201309,89.52,143.77,135.00,0.00,0.00,1.57,0,0,0,132265
-5.839293,-35.201309,103.86,143.77,45.00,0.00,0.00,1.57,0,0,0,134149
-5.839293,-35.201309,105.00,143.77,45.00,0.00,0.00,1.57,0,0,0,136048
-5.839303,-35.201255,112.06,73.12,135.00,0.00,0.00,4.83,0,0,0,138826
-5.839300,-35.201240,118.66,73.12,112.50,0.00,0.00,4.83,0,0,0,140730
-5.839297,-35.201213,119.80,73.12,112.50,0.00,0.00,4.83,0,0,0,142610
-5.839297,-35.201213,117.46,73.12,135.00,0.00,0.00,4.83,0,0,0,144484
-5.839290,-35.201225,113.72,29.16,135.00,0.00,0.00,1.06,0,0,0,146373
-5.839290,-35.201225,-133.50,29.16,0.00,0.00,27.00,1.06,0,0,0,150130
-5.839277,-35.201286,-116.44,161.68,-67.50,67.00,28.00,2.33,0,0,0,152000
-5.839290,-35.201282,-113.73,181.80,-67.50,0.00,40.00,2.61,0,0,0,153894
-5.839310,-35.201290,-107.08,181.80,0.00,0.00,47.00,2.61,0,0,0,155753
-5.839318,-35.201297,-103.67,181.80,67.50,0.00,49.00,2.61,0,0,0,157639
-5.839322,-35.201297,-97.07,181.80,67.50,0.00,49.00,2.61,0,0,0,159520
-5.839548,-35.201339,142.42,140.60,0.00,0.00,0.00,3.98,0,0,0,208471
-5.839548,-35.201339,140.44,140.60,0.00,0.00,0.00,3.98,0,0,0,210348
-5.839548,-35.201339,137.32,140.60,90.00,0.00,0.00,3.98,0,0,0,212229
-5.839618,-35.201271,-164.09,140.60,0.00,0.00,0.00,3.98,0,0,0,215000
-5.839622,-35.201267,-158.16,145.42,0.00,0.00,0.00,2.78,0,0,0,216909
-5.839627,-35.201263,-143.54,135.85,22.50,0.00,0.00,1.31,0,0,0,218780
-5.839632,-35.201263,-142.70,135.85,135.00,2.00,0.00,1.31,0,0,0,220657
-5.839635,-35.201263,-153.55,135.85,135.00,0.00,0.00,1.31,0,0,0,222548
-5.839635,-35.201263,-145.14,135.85,135.00,0.00,0.00,1.31,0,0,0,224435
-5.839637,-35.201274,-143.93,210.73,-22.50,0.00,0.00,0.65,0,0,0,226320
-5.839637,-35.201274,-140.30,210.73,22.50,0.00,0.00,0.65,0,0,0,228197
-5.839637,-35.201274,-130.47,210.73,112.50,0.00,0.00,0.65,0,0,0,230112
-5.839618,-35.201290,-131.06,315.38,112.50,0.00,0.00,1.04,0,0,0,232915
-5.839613,-35.201290,-139.85,325.79,22.50,4.00,0.00,0.74,0,0,0,234804
-5.839612,-35.201297,-138.53,325.79,22.50,9.00,0.00,0.74,0,0,0,236702
-5.839610,-35.201297,-162.94,325.79,112.50,9.00,0.00,0.74,0,0,0,237577
-5.839610,-35.201297,-133.18,325.79,22.50,4.00,0.00,0.74,0,0,0,239493
-5.839620,-35.201290,-136.36,151.06,45.00,2.00,0.00,1.26,0,0,0,241377
-5.839620,-35.201290,-144.61,151.06,45.00,2.00,0.00,1.26,0,0,0,243258
-5.839620,-35.201290,-145.34,151.06,45.00,0.00,0.00,1.26,0,0,0,245139
-5.839618,-35.201290,-144.94,293.62,45.00,0.00,0.00,2.35,0,0,0,247908
-5.839627,-35.201290,-144.87,300.40,45.00,0.00,0.00,1.57,0,0,0,248907
-5.839602,-35.201301,-144.72,300.40,-112.50,0.00,0.00,1.57,0,0,0,250774
-5.839597,-35.201301,-145.49,300.40,112.50,0.00,0.00,1.57,0,0,0,252706
-5.839595,-35.201301,-145.00,300.40,112.50,0.00,0.00,1.57,0,0,0,253584
-5.839595,-35.201301,-145.74,300.40,112.50,0.00,0.00,1.57,0,0,0,255492
-5.839595,-35.201301,-146.21,300.40,45.00,0.00,0.00,1.57,0,0,0,257362
-5.839568,-35.201271,nan,1.47,67.50,0.00,0.00,1.80,0,1,0,284320
-5.839568,-35.201271,nan,1.47,67.50,0.00,0.00,1.80,0,1,0,284760
-5.839577,-35.201267,nan,179.99,67.50,0.00,0.00,1.89,0,1,0,285496
-5.839577,-35.201267,nan,179.99,67.50,0.00,0.00,1.89,0,1,0,285934
-5.839580,-35.201267,nan,179.99,67.50,0.00,0.00,1.89,0,1,0,286366
-5.839582,-35.201267,nan,160.58,-67.50,0.00,0.00,1.56,0,1,0,287557
-5.839582,-35.201263,nan,170.04,-67.50,0.00,0.00,0.28,0,1,0,288731
-5.839582,-35.201263,nan,170.04,67.50,0.00,0.00,0.28,0,1,0,289162
-5.839583,-35.201255,nan,170.04,45.00,0.00,0.00,0.28,0,0,0,290606
-5.839583,-35.201255,nan,170.04,-45.00,0.00,0.00,0.28,0,0,0,292493
-5.839583,-35.201255,nan,170.04,-90.00,0.00,0.00,0.28,0,0,0,293364
