Latitude,Longitude,Yaw,Course,WindDir,RudderAngle,SailAngle,Speed,Waypoint,LogState,Autopilot,TimeStamp
-5.839588,-35.201313,-138.37,323.07,0.00,0.00,1.00,0.28,0,1,0,2356
-5.839588,-35.201313,-138.40,227.64,0.00,0.00,0.00,0.70,0,1,0,2822
-5.839588,-35.201313,-138.56,227.64,0.00,0.00,0.00,0.70,0,1,0,3208
-5.839588,-35.201313,-138.25,227.64,0.00,0.00,1.00,0.70,0,1,0,3556
-5.839588,-35.201313,-138.52,227.64,0.00,0.00,1.00,0.70,0,1,0,4405
-5.839588,-35.201313,-139.00,253.76,0.00,0.00,0.00,0.61,0,1,0,4728
-5.839588,-35.201313,-138.71,253.76,0.00,0.00,0.00,0.61,0,1,0,5217
-5.839587,-35.201313,-138.53,253.76,0.00,0.00,1.00,0.61,0,1,0,5537
-5.839587,-35.201313,-138.61,253.76,0.00,0.00,4.00,0.61,0,1,0,6335
-5.839588,-35.201313,-138.53,250.71,0.00,0.00,4.00,0.78,0,1,0,7562
-5.839588,-35.201313,-138.54,250.71,0.00,0.00,4.00,0.78,0,1,0,8014
-5.839588,-35.201313,-138.82,250.71,0.00,0.00,3.00,0.78,0,1,0,8758
-5.839590,-35.201313,-135.37,227.27,0.00,0.00,3.00,0.37,0,1,0,9203
-5.839590,-35.201313,-71.73,227.27,0.00,0.00,3.00,0.37,0,1,0,9980
-5.839587,-35.201320,-14.64,298.69,0.00,0.00,4.00,1.43,0,1,0,11255
-5.839587,-35.201320,-4.61,298.69,0.00,0.00,4.00,1.43,0,1,0,11690
-5.839587,-35.201328,3.34,219.90,0.00,0.00,4.00,2.59,0,1,0,12879
-5.839590,-35.201328,-5.17,219.90,0.00,0.00,3.00,2.59,0,1,0,14067
-5.839588,-35.201328,-6.93,88.06,0.00,0.00,4.00,0.63,0,1,0,14518
-5.839588,-35.201328,-8.56,88.06,0.00,0.00,4.00,0.63,0,1,0,14970
-5.839588,-35.201328,-13.11,88.06,0.00,0.00,3.00,0.63,0,1,0,16177
-5.839582,-35.201328,-14.85,88.06,0.00,0.00,4.00,0.63,0,1,0,16616
-5.839578,-35.201324,-19.30,2.44,0.00,0.00,4.00,0.85,0,1,0,17772
-5.839578,-35.201324,-20.61,2.44,0.00,0.00,3.00,0.85,0,1,0,18213
-5.839578,-35.201324,-22.12,2.44,0.00,0.00,4.00,0.85,0,1,0,18641
-5.839578,-35.201324,-24.12,2.44,0.00,-27.00,0.00,0.85,0,1,1,19511
-5.839582,-35.201320,-25.57,142.89,0.00,-27.00,0.00,0.67,0,1,1,20365
-5.839578,-35.201324,-27.25,142.89,0.00,-36.00,0.00,0.67,0,1,1,21561
-5.839578,-35.201324,-27.67,142.89,0.00,-39.00,0.00,0.67,0,1,1,22003
-5.839578,-35.201324,-27.92,142.89,0.00,-39.00,0.00,0.67,0,1,1,22440
-5.839573,-35.201328,-28.19,313.78,0.00,-41.00,0.00,1.06,0,1,1,22880
-5.839570,-35.201328,-26.17,313.78,0.00,-36.00,0.00,1.06,0,1,1,24926
-5.839570,-35.201328,-21.07,313.78,0.00,-30.00,0.00,1.06,0,1,1,25364
-5.839570,-35.201328,-14.82,313.78,0.00,-5.00,0.00,1.06,0,1,1,25802
-5.839568,-35.201324,-10.12,313.78,0.00,6.00,0.00,1.06,0,1,1,26243
-5.839568,-35.201324,-6.63,313.78,0.00,20.00,0.00,1.06,0,1,1,26673
-5.839568,-35.201324,-4.04,313.78,0.00,31.00,0.00,1.06,0,1,1,27107
-5.839572,-35.201320,-4.95,313.78,0.00,36.00,0.00,1.06,0,1,1,27549
-5.839575,-35.201320,-6.28,206.70,0.00,27.00,0.00,0.87,0,1,1,30057
-5.839575,-35.201320,-7.55,206.70,0.00,27.00,0.00,0.87,0,1,1,30510
-5.839575,-35.201320,-8.39,206.70,0.00,22.00,0.00,0.87,0,1,1,30954
-5.839575,-35.201320,-5.99,206.70,0.00,22.00,0.00,0.87,0,1,1,31392
-5.839575,-35.201320,-4.64,206.70,-45.00,31.00,0.00,0.87,0,1,1,31828
-5.839518,-35.201313,13.17,345.46,-135.00,-90.00,0.00,2.48,0,1,0,41714
-5.839508,-35.201320,-38.40,345.46,-135.00,-90.00,45.00,2.48,0,1,0,45357
-5.839485,-35.201328,-32.55,315.61,45.00,0.00,44.00,2.48,0,1,0,48577
-5.839463,-35.201358,-39.19,310.33,112.50,-88.00,42.00,3.76,0,1,0,52221
-5.839463,-35.201358,-35.41,310.33,112.50,-86.00,44.00,3.76,0,1,0,52983
-5.839463,-35.201358,-46.15,310.33,112.50,-86.00,42.00,3.76,0,1,0,53437
-5.839455,-35.201400,-132.77,287.20,0.00,-86.00,40.00,3.11,0,1,0,58320
-5.839455,-35.201400,-139.35,287.20,0.00,-86.00,40.00,3.11,0,1,0,58753
-5.839480,-35.201408,-89.99,215.43,-67.50,2.00,40.00,3.22,0,1,0,63147
-5.839485,-35.201416,-85.08,215.43,-67.50,54.00,37.00,3.22,0,1,0,63588
-5.839480,-35.201427,-0.48,294.88,-90.00,90.00,37.00,2.26,0,1,0,68724
-5.839445,-35.201427,48.10,294.88,-135.00,90.00,82.00,2.26,0,1,0,71942
-5.839475,-35.201408,-142.98,238.94,0.00,-90.00,0.00,3.26,0,1,1,92173
-5.839508,-35.201419,-165.59,190.03,45.00,-90.00,61.00,3.24,0,1,1,95510
-5.839508,-35.201419,-168.38,190.03,0.00,-90.00,24.00,3.24,0,1,1,95961
-5.839515,-35.201416,-170.07,158.27,0.00,-90.00,0.00,3.82,0,1,1,97583
-5.839515,-35.201416,-162.23,158.27,0.00,-90.00,0.00,3.82,0,1,1,98036
-5.839577,-35.201416,-53.48,176.10,45.00,90.00,0.00,1.52,0,1,0,106681
-5.839602,-35.201438,33.08,335.18,45.00,-86.00,100.00,1.33,0,1,0,114761
-5.839587,-35.201438,74.17,31.04,45.00,4.00,96.00,2.41,0,1,0,117144
-5.839560,-35.201393,171.42,112.38,0.00,-86.00,45.00,2.85,0,1,0,123598
-5.839562,-35.201389,-179.42,130.43,0.00,-86.00,48.00,3.24,0,1,0,124769
-5.839565,-35.201385,-174.44,130.43,0.00,54.00,43.00,3.24,0,1,0,125213
-5.839565,-35.201385,-143.71,130.43,67.50,90.00,0.00,3.24,0,1,0,126382
-5.839585,-35.201366,-95.36,152.20,45.00,90.00,0.00,3.61,0,1,0,128881
-5.839585,-35.201366,-83.77,160.70,45.00,90.00,0.00,2.72,0,1,0,130073
-5.839593,-35.201362,-80.65,160.70,45.00,90.00,0.00,2.72,0,1,0,130501
-5.839597,-35.201366,-78.70,223.35,45.00,0.00,0.00,1.24,0,1,0,132124
-5.839598,-35.201366,-78.83,223.35,45.00,0.00,0.00,1.24,0,1,0,132559
-5.839598,-35.201366,-77.98,223.35,45.00,0.00,0.00,1.24,0,1,0,132988
-5.839598,-35.201366,-66.43,223.35,-45.00,0.00,0.00,1.24,0,1,0,134587
-5.839598,-35.201366,-62.42,223.35,-90.00,0.00,0.00,1.24,0,1,0,135028
-5.839597,-35.201370,-58.64,223.35,-90.00,0.00,0.00,1.24,0,1,0,135470
-5.839597,-35.201370,-45.24,228.44,-112.50,0.00,0.00,1.24,0,1,0,137096
-5.839597,-35.201370,-45.69,228.44,112.50,0.00,0.00,1.24,0,1,0,137538
-5.839597,-35.201370,-46.00,228.44,112.50,0.00,0.00,1.24,0,1,0,137887
-5.839597,-35.201370,-46.56,228.44,112.50,0.00,0.00,1.24,0,1,0,138324
-5.839597,-35.201370,-46.53,228.44,112.50,0.00,0.00,1.24,0,1,0,138752
-5.839597,-35.201370,-46.69,228.44,112.50,0.00,0.00,1.24,0,1,0,139182
-5.839593,-35.201377,-47.06,228.44,-157.50,0.00,0.00,1.24,0,1,0,140357
-5.839593,-35.201377,-47.24,228.44,135.00,0.00,0.00,1.24,0,1,0,140807
-5.839593,-35.201377,-46.98,228.44,135.00,0.00,0.00,1.24,0,1,0,141241
-5.839593,-35.201377,-47.16,228.44,90.00,90.00,0.00,1.24,0,1,0,141975
-5.839593,-35.201377,-47.17,228.44,112.50,90.00,0.00,1.24,0,1,0,142423
-5.839577,-35.201370,-47.90,349.11,22.50,90.00,0.00,0.61,0,1,0,144055
-5.839572,-35.201370,-47.93,323.97,22.50,0.00,0.00,0.44,0,1,0,144791
-5.839572,-35.201370,-47.28,323.97,0.00,83.00,0.00,0.44,0,1,0,145226
-5.839567,-35.201366,-41.61,323.97,-112.50,90.00,33.00,0.44,0,1,0,146419
-5.839567,-35.201366,-38.86,257.47,-112.50,90.00,29.00,0.56,0,1,0,146862
-5.839567,-35.201370,-28.23,257.47,180.00,0.00,0.00,0.56,0,1,0,148459
-5.839567,-35.201370,-23.51,257.47,-112.50,0.00,0.00,0.56,0,1,0,148907
-5.839567,-35.201370,-20.88,231.52,157.50,4.00,0.00,1.80,0,1,0,149652
-5.839567,-35.201370,-19.79,231.52,-157.50,2.00,14.00,1.80,0,1,0,150093
-5.839562,-35.201377,-10.35,359.64,-157.50,-61.00,18.00,0.93,0,1,0,151263
-5.839562,-35.201377,-6.72,359.64,-157.50,-16.00,20.00,0.93,0,1,0,151697
-5.839560,-35.201377,9.52,21.09,180.00,0.00,38.00,0.39,0,1,0,152445
-5.839560,-35.201377,4.74,21.09,-157.50,-79.00,40.00,0.39,0,1,0,152889
-5.839558,-35.201385,22.87,21.09,45.00,-54.00,40.00,0.39,0,1,0,154064
